Tanggal,Terakhir
4/5/2020,15.800
4/12/2020,15.400
4/19/2020,15.350
4/26/2020,14.825
5/3/2020,14.890
5/10/2020,14.830
5/17/2020,14.680
5/24/2020,14.575
5/31/2020,13.850
6/7/2020,14.050
6/14/2020,14.050
6/21/2020,14.150
6/28/2020,14.450
7/5/2020,14.360
7/12/2020,14.620
7/19/2020,14.540
7/26/2020,14.530
8/2/2020,14.580
8/9/2020,14.720
8/16/2020,14.770
8/23/2020,14.615
8/30/2020,14.740
9/6/2020,14.860
9/13/2020,14.730
9/20/2020,14.845
9/27/2020,14.830
10/4/2020,14.675
10/11/2020,14.670
10/18/2020,14.650
10/25/2020,14.620
11/1/2020,14.190
11/8/2020,14.150
11/15/2020,14.150
11/22/2020,14.070
11/29/2020,14.085
12/6/2020,14.070
12/13/2020,14.080
12/20/2020,14.150
12/27/2020,14.040
1/3/2021,13.980
1/10/2021,14.010
1/17/2021,14.020
1/24/2021,14.020
1/31/2021,14.020
2/7/2021,13.970
2/14/2021,14.060
2/21/2021,14.240
2/28/2021,14.290
3/7/2021,14.380
3/14/2021,14.400
3/21/2021,14.410
3/28/2021,14.520
4/4/2021,14.560
4/11/2021,14.560
4/18/2021,14.520
4/25/2021,14.440
5/2/2021,14.280
5/9/2021,14.195
5/16/2021,14.350
5/23/2021,14.280
5/30/2021,14.290
6/6/2021,14.188
6/13/2021,14.370
6/20/2021,14.420
6/27/2021,14.530
7/4/2021,14.525
7/11/2021,14.495
7/18/2021,14.490
7/25/2021,14.460
8/1/2021,14.350
8/8/2021,14.385
8/15/2021,14.450
8/22/2021,14.415
8/29/2021,14.260
9/5/2021,14.200
9/12/2021,14.225
9/19/2021,14.255
9/26/2021,14.305
10/3/2021,14.220
10/10/2021,14.070
10/17/2021,14.120
10/24/2021,14.165
10/31/2021,14.325
11/7/2021,14.233
11/14/2021,14.235
11/21/2021,14.300
11/28/2021,14.395
12/5/2021,14.370
12/12/2021,14.365
12/19/2021,14.220
12/26/2021,14.250
1/2/2022,14.355
1/9/2022,14.295
1/16/2022,14.335
1/23/2022,14.385
1/30/2022,14.378
2/6/2022,14.350
2/13/2022,14.325
2/20/2022,14.365
2/27/2022,14.385
3/6/2022,14.300
3/13/2022,14.340
3/20/2022,14.340
3/27/2022,14.365
4/3/2022,14.360
4/10/2022,14.343
4/17/2022,14.356
4/24/2022,14.495
5/1/2022,14.497
5/8/2022,14.610
5/15/2022,14.650
5/22/2022,14.575
5/29/2022,14.435
6/5/2022,14.550
6/12/2022,14.821
6/19/2022,14.845
6/26/2022,14.935
7/3/2022,14.975
7/10/2022,14.990
7/17/2022,15.015
7/24/2022,14.830
7/31/2022,14.890
8/7/2022,14.665
8/14/2022,14.835
8/21/2022,14.815
8/28/2022,14.895
9/4/2022,14.828
9/11/2022,14.950
9/18/2022,15.035
9/25/2022,15.225
10/2/2022,15.250
10/9/2022,15.425
10/16/2022,15.630
10/23/2022,15.548
10/30/2022,15.735
11/6/2022,15.490
11/13/2022,15.685
11/20/2022,15.670
11/27/2022,15.425
12/4/2022,15.582
12/11/2022,15.595
12/18/2022,15.590
12/25/2022,15.565
1/1/2023,15.630
1/8/2023,15.140
1/15/2023,15.070
1/22/2023,14.980
1/29/2023,14.890
2/5/2023,15.130
2/12/2023,15.200
2/19/2023,15.220
2/26/2023,15.295
3/5/2023,15.445
3/12/2023,15.340
3/19/2023,15.150
3/26/2023,14.990
4/2/2023,14.910
4/9/2023,14.695
4/16/2023,14.840
4/23/2023,14.665
4/30/2023,14.670
5/7/2023,14.745
5/14/2023,14.920
5/21/2023,14.950
5/28/2023,14.985
6/4/2023,14.835
6/11/2023,14.930
6/18/2023,14.990
6/25/2023,14.990
7/2/2023,15.130
7/9/2023,14.955
7/16/2023,15.020
7/23/2023,15.090
7/30/2023,15.165
8/6/2023,15.210
8/13/2023,15.280
8/20/2023,15.290
8/27/2023,15.235
9/3/2023,15.320
9/10/2023,15.350
9/17/2023,15.370
9/24/2023,15.450
10/1/2023,15.605
10/8/2023,15.680
10/15/2023,15.870
10/22/2023,15.935
10/29/2023,15.725
11/5/2023,15.690
11/12/2023,15.490
