Date,Terakhir
2020-04-06,"16,412.50"
2020-04-13,"16,175.00"
2020-04-20,"16,175.00"
2020-04-27,"15,820.00"
2020-05-04,"15,630.00"
2020-05-11,"15,630.00"
2020-05-18,"15,565.00"
2020-05-25,"15,640.00"
2020-06-01,"15,430.00"
2020-06-08,"15,412.50"
2020-06-15,"15,455.00"
2020-06-22,"15,450.00"
2020-06-29,"15,400.00"
2020-07-06,"15,400.00"
2020-07-13,"15,385.00"
2020-07-20,"15,422.50"
2020-07-27,"15,295.00"
2020-08-03,"14,875.00"
2020-08-10,"15,100.00"
2020-08-17,"15,080.00"
2020-08-24,"15,045.00"
2020-08-31,"14,920.00"
2020-09-07,"14,895.00"
2020-09-14,"14,905.00"
2020-09-21,"14,865.00"
2020-09-28,"14,885.00"
2020-10-05,"14,860.00"
2020-10-12,"14,850.00"
2020-10-19,"14,770.00"
2020-10-26,"14,710.00"
2020-11-02,"14,755.00"
2020-11-09,"14,710.00"
2020-11-16,"14,715.00"
2020-11-23,"14,610.00"
2020-11-30,"14,415.00"
2020-12-07,"14,095.00"
2020-12-14,"14,095.00"
2020-12-21,"13,870.00"
2020-12-28,"13,885.00"
2021-01-04,"13,890.00"
2021-01-11,"13,980.00"
2021-01-18,"14,015.00"
2021-01-25,"14,125.00"
2021-02-01,"14,115.00"
2021-02-08,"14,090.00"
2021-02-15,"14,082.50"
2021-02-22,"14,085.00"
2021-03-01,"14,100.00"
2021-03-08,"14,185.00"
2021-03-15,"14,160.00"
2021-03-22,"14,130.00"
2021-03-29,"14,175.00"
2021-04-05,"14,220.00"
2021-04-12,"14,245.00"
2021-04-19,"14,255.00"
2021-04-26,"14,265.00"
2021-05-03,"14,378.50"
2021-05-10,"14,510.00"
2021-05-17,"14,490.00"
2021-05-24,"14,440.00"
2021-05-31,"14,410.00"
2021-06-07,"14,395.00"
2021-06-14,"14,435.00"
2021-06-21,"14,425.00"
2021-06-28,"14,450.00"
2021-07-05,"14,587.50"
2021-07-12,"14,625.00"
2021-07-19,"14,695.00"
2021-07-26,"14,785.00"
2021-08-02,"14,738.50"
2021-08-09,"14,650.00"
2021-08-16,"14,580.00"
2021-08-23,"14,610.00"
2021-08-30,"14,520.00"
2021-09-06,"14,535.00"
2021-09-13,"14,535.00"
2021-09-20,"14,600.00"
2021-09-27,"14,630.00"
2021-10-04,"14,620.00"
2021-10-11,"14,550.00"
2021-10-18,"14,585.00"
2021-10-25,"14,580.00"
2021-11-01,"14,590.00"
2021-11-08,"14,620.00"
2021-11-15,"14,685.00"
2021-11-22,"14,700.00"
2021-11-29,"14,720.00"
2021-12-06,"14,830.00"
2021-12-13,"14,770.00"
2021-12-20,"14,670.00"
2021-12-27,"14,640.00"
2022-01-03,"14,670.00"
2022-01-10,"14,650.00"
2022-01-17,"14,615.00"
2022-01-24,"14,560.00"
2022-01-31,"14,565.00"
2022-02-07,"14,740.00"
2022-02-14,"14,760.00"
2022-02-21,"14,740.00"
2022-02-28,"14,730.00"
2022-03-07,"14,760.00"
2022-03-14,"14,780.00"
2022-03-21,"14,820.00"
2022-03-28,"14,860.00"
2022-04-04,"14,860.00"
2022-04-11,"14,835.00"
2022-04-18,"14,825.00"
2022-04-25,"14,820.00"
2022-05-02,"14,730.00"
2022-05-09,"14,690.00"
2022-05-16,"14,750.00"
2022-05-23,"14,780.00"
2022-05-30,"14,845.00"
2022-06-06,"14,845.00"
2022-06-13,"14,850.00"
2022-06-20,"14,845.00"
2022-06-27,"14,840.00"
2022-07-04,"14,820.00"
2022-07-11,"14,830.00"
2022-07-18,"14,790.00"
2022-07-25,"14,710.00"
2022-08-01,"14,690.00"
2022-08-08,"14,685.00"
2022-08-15,"14,675.00"
2022-08-22,"14,680.00"
2022-08-29,"14,680.00"
2022-09-05,"14,680.00"
2022-09-12,"14,660.00"
2022-09-19,"14,670.00"
2022-09-26,"14,670.00"
2022-10-03,"14,650.00"
2022-10-10,"14,610.00"
2022-10-17,"14,640.00"
2022-10-24,"14,650.00"
2022-10-31,"14,630.00"
2022-11-07,"14,620.00"
2022-11-14,"14,625.00"
2022-11-21,"14,570.00"
2022-11-28,"14,540.00"
2022-12-05,"14,370.00"
2022-12-12,"14,190.00"
2022-12-19,"14,050.00"
2022-12-26,"14,040.00"
,"14,070.00"
,"14,140.00"
,"14,150.00"
,"14,100.00"
,"14,030.00"
,"14,050.00"
,"14,140.00"
,"14,150.00"
,"14,130.00"
,"14,140.00"
,"14,130.00"
,"14,090.00"
,"14,070.00"
,"14,090.00"
,"14,100.00"
,"14,090.00"
,"14,100.00"
,"14,085.00"
,"14,080.00"
,"14,080.00"
,"14,090.00"
,"14,070.00"
,"14,070.00"
,"14,090.00"
,"14,090.00"
,"14,085.00"
,"14,080.00"
,"14,100.00"
