Date,Terakhir
2020-04-06,15.800
2020-04-13,15.400
2020-04-20,15.350
2020-04-27,14.825
2020-05-04,14.890
2020-05-11,14.830
2020-05-18,14.680
2020-05-25,14.575
2020-06-01,13.850
2020-06-08,14.050
2020-06-15,14.050
2020-06-22,14.150
2020-06-29,14.450
2020-07-06,14.360
2020-07-13,14.620
2020-07-20,14.540
2020-07-27,14.530
2020-08-03,14.580
2020-08-10,14.720
2020-08-17,14.770
2020-08-24,14.615
2020-08-31,14.740
2020-09-07,14.860
2020-09-14,14.730
2020-09-21,14.845
2020-09-28,14.830
2020-10-05,14.675
2020-10-12,14.670
2020-10-19,14.650
2020-10-26,14.620
2020-11-02,14.190
2020-11-09,14.150
2020-11-16,14.150
2020-11-23,14.070
2020-11-30,14.085
2020-12-07,14.070
2020-12-14,14.080
2020-12-21,14.150
2020-12-28,14.040
2021-01-04,13.980
2021-01-11,14.010
2021-01-18,14.020
2021-01-25,14.020
2021-02-01,14.020
2021-02-08,13.970
2021-02-15,14.060
2021-02-22,14.240
2021-03-01,14.290
2021-03-08,14.380
2021-03-15,14.400
2021-03-22,14.410
2021-03-29,14.520
2021-04-05,14.560
2021-04-12,14.560
2021-04-19,14.520
2021-04-26,14.440
2021-05-03,14.280
2021-05-10,14.195
2021-05-17,14.350
2021-05-24,14.280
2021-05-31,14.290
2021-06-07,14.188
2021-06-14,14.370
2021-06-21,14.420
2021-06-28,14.530
2021-07-05,14.525
2021-07-12,14.495
2021-07-19,14.490
2021-07-26,14.460
2021-08-02,14.350
2021-08-09,14.385
2021-08-16,14.450
2021-08-23,14.415
2021-08-30,14.260
2021-09-06,14.200
2021-09-13,14.225
2021-09-20,14.255
2021-09-27,14.305
2021-10-04,14.220
2021-10-11,14.070
2021-10-18,14.120
2021-10-25,14.165
2021-11-01,14.325
2021-11-08,14.233
2021-11-15,14.235
2021-11-22,14.300
2021-11-29,14.395
2021-12-06,14.370
2021-12-13,14.365
2021-12-20,14.220
2021-12-27,14.250
2022-01-03,14.355
2022-01-10,14.295
2022-01-17,14.335
2022-01-24,14.385
2022-01-31,14.378
2022-02-07,14.350
2022-02-14,14.325
2022-02-21,14.365
2022-02-28,14.385
2022-03-07,14.300
2022-03-14,14.340
2022-03-21,14.340
2022-03-28,14.365
2022-04-04,14.360
2022-04-11,14.343
2022-04-18,14.356
2022-04-25,14.495
2022-05-02,14.497
2022-05-09,14.610
2022-05-16,14.650
2022-05-23,14.575
2022-05-30,14.435
2022-06-06,14.550
2022-06-13,14.821
2022-06-20,14.845
2022-06-27,14.935
2022-07-04,14.975
2022-07-11,14.990
2022-07-18,15.015
2022-07-25,14.830
2022-08-01,14.890
2022-08-08,14.665
2022-08-15,14.835
2022-08-22,14.815
2022-08-29,14.895
2022-09-05,14.828
2022-09-12,14.950
2022-09-19,15.035
2022-09-26,15.225
2022-10-03,15.250
2022-10-10,15.425
2022-10-17,15.630
2022-10-24,15.548
2022-10-31,15.735
2022-11-07,15.490
2022-11-14,15.685
2022-11-21,15.670
2022-11-28,15.425
2022-12-05,15.582
2022-12-12,15.595
2022-12-19,15.590
2022-12-26,15.565
