Date,Terakhir
2020-04-06,15800
2020-04-13,15400
2020-04-20,15350
2020-04-27,14825
2020-05-04,14890
2020-05-11,14830
2020-05-18,14680
2020-05-25,14575
2020-06-01,13850
2020-06-08,14050
2020-06-15,14050
2020-06-22,14150
2020-06-29,14450
2020-07-06,14360
2020-07-13,14620
2020-07-20,14540
2020-07-27,14530
2020-08-03,14580
2020-08-10,14720
2020-08-17,14770
2020-08-24,14615
2020-08-31,14740
2020-09-07,14860
2020-09-14,14730
2020-09-21,14845
2020-09-28,14830
2020-10-05,14675
2020-10-12,14670
2020-10-19,14650
2020-10-26,14620
2020-11-02,14190
2020-11-09,14150
2020-11-16,14150
2020-11-23,14070
2020-11-30,14085
2020-12-07,14070
2020-12-14,14080
2020-12-21,14150
2020-12-28,14040
2021-01-04,13980
2021-01-11,14010
2021-01-18,14020
2021-01-25,14020
2021-02-01,14020
2021-02-08,13970
2021-02-15,14060
2021-02-22,14240
2021-03-01,14290
2021-03-08,14380
2021-03-15,14400
2021-03-22,14410
2021-03-29,14520
2021-04-05,14560
2021-04-12,14560
2021-04-19,14520
2021-04-26,14440
2021-05-03,14280
2021-05-10,14195
2021-05-17,14350
2021-05-24,14280
2021-05-31,14290
2021-06-07,14188
2021-06-14,14370
2021-06-21,14420
2021-06-28,14530
2021-07-05,14525
2021-07-12,14495
2021-07-19,14490
2021-07-26,14460
2021-08-02,14350
2021-08-09,14385
2021-08-16,14450
2021-08-23,14415
2021-08-30,14260
2021-09-06,14200
2021-09-13,14225
2021-09-20,14255
2021-09-27,14305
2021-10-04,14220
2021-10-11,14070
2021-10-18,14120
2021-10-25,14165
2021-11-01,14325
2021-11-08,14233
2021-11-15,14235
2021-11-22,14300
2021-11-29,14395
2021-12-06,14370
2021-12-13,14365
2021-12-20,14220
2021-12-27,14250
2022-01-03,14355
2022-01-10,14295
2022-01-17,14335
2022-01-24,14385
2022-01-31,14378
2022-02-07,14350
2022-02-14,14325
2022-02-21,14365
2022-02-28,14385
2022-03-07,14300
2022-03-14,14340
2022-03-21,14340
2022-03-28,14365
2022-04-04,14360
2022-04-11,14343
2022-04-18,14356
2022-04-25,14495
2022-05-02,14497
2022-05-09,14610
2022-05-16,14650
2022-05-23,14575
2022-05-30,14435
2022-06-06,14550
2022-06-13,14821
2022-06-20,14845
2022-06-27,14935
2022-07-04,14975
2022-07-11,14990
2022-07-18,15015
2022-07-25,14830
2022-08-01,14890
2022-08-08,14665
2022-08-15,14835
2022-08-22,14815
2022-08-29,14895
2022-09-05,14828
2022-09-12,14950
2022-09-19,15035
2022-09-26,15225
2022-10-03,15250
2022-10-10,15425
2022-10-17,15630
2022-10-24,15548
2022-10-31,15735
2022-11-07,15490
2022-11-14,15685
2022-11-21,15670
2022-11-28,15425
2022-12-05,15582
2022-12-12,15595
2022-12-19,15590
2022-12-26,15565
