y;x1;x2
0;19.860.268;0.03480818
1;19.960.403;0.034607366
2;19.993.782;0.034004916
3;2.002.716;0.033469405
4;20.194.054;0.033469405
5;2.052.784;0.033469405
6;20.694.733;0.033469405
7;20.861.626;0.0338041
8;21.028.519;0.0338041
9;21.028.519;0.033469405
10;21.028.519;0.03313471
11;21.028.519;0.032465324
12;21.028.519;0.027110219
13;21.028.519;0.024432667
14;21.028.519;0.020751031
15;21.195.412;0.017906131
16;21.195.412;0.01573062
17;21.362.305;0.014726538
18;2.169.609;0.015061232
19;22.029.877;0.016567355
20;22.363.663;0.019412255
21;22.697.449;0.0224245
22;22.363.663;0.026440829
23;2.169.609;0.031126548
24;21.362.305;0.033469405
25;2.169.609;0.036481652
26;22.363.663;0.03982859
27;22.363.663;0.04049798
28;22.029.877;0.039493896
29;2.169.609;0.039159205
30;2.169.609;0.03982859
31;2.169.609;0.040832676
32;2.169.609;0.040832676
33;21.362.305;0.03882451
34;2.052.784;0.03413879
35;19.526.482;0.028783688
36;19.025.803;0.02142042
37;1.885.891;0.019579602
38;19.025.803;0.018073479
39;19.192.696;0.015897967
40;19.359.589;0.014559191
41;19.526.482;0.01405715
42;19.693.375;0.014391844
43;19.693.375;0.015061232
44;19.693.375;0.016232662
45;19.693.375;0.018073479
46;19.526.482;0.021755114
47;19.192.696;0.027779605
48;19.192.696;0.03146124
49;19.192.696;0.034473486
50;19.192.696;0.03715104
51;19.192.696;0.03882451
52;19.359.589;0.040163286
53;19.526.482;0.041167367
54;19.526.482;0.041167367
55;19.526.482;0.04049798
56;19.526.482;0.040163286
57;19.359.589;0.03982859
58;19.359.589;0.03982859
59;19.359.589;0.041836757
60;19.526.482;0.038155124
61;19.526.482;0.035142876
62;19.359.589;0.030457158
63;19.359.589;0.025102053
64;19.359.589;0.021755114
65;19.192.696;0.02024899
66;19.192.696;0.019914296
67;19.192.696;0.02024899
68;19.192.696;0.021085724
69;19.025.803;0.023428584
70;19.025.803;0.029453076
71;19.192.696;0.040163286
