Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,,,,,,
2022-01-02,,,,,,
2022-01-03,6586259766,6677199219,6586132813,6665308105,6665308105,182552700
2022-01-04,6675129883,6720657227,6675129883,6695373047,6695373047,185900100
2022-01-05,6703171875,6738109863,6634838867,6662298828,6662298828,179080500
2022-01-06,6674852051,6679851074,6593229004,6653351074,6653351074,179990500
2022-01-07,666951123,6712146973,6647712891,6701315918,6701315918,157064700
2022-01-08,,,,,,
2022-01-09,,,,,,
2022-01-10,6697375977,6725023926,6689282227,6691124023,6691124023,159382400
2022-01-11,6705795898,672776709,6636500977,6647970215,6647970215,181053500
2022-01-12,666239502,6690323242,6625756836,6647064941,6647064941,192900600
2022-01-13,6659973145,6667940918,6626338867,6658355957,6658355957,180765500
2022-01-14,6653645996,6699413086,6631045898,6693400879,6693400879,140467300
2022-01-15,,,,,,
2022-01-16,,,,,,
2022-01-17,6711405762,6711821777,6625862793,6645047852,6645047852,148626000
2022-01-18,6654958984,6667404785,653427002,6614059082,6614059082,172778900
2022-01-19,6609832031,6615451172,6575380859,6591980957,6591980957,171354300
2022-01-20,6607798828,6637207031,6587765137,6626871094,6626871094,158271000
2022-01-21,6626348145,6726373047,6607417969,6726373047,6726373047,154628300
2022-01-22,,,,,,
2022-01-23,,,,,,
2022-01-24,6700821777,6712262207,664540918,6655166016,6655166016,176239200
2022-01-25,663087793,6632953125,6523929199,6568172852,6568172852,213235100
2022-01-26,6569817871,6601336914,6549520996,6600818848,6600818848,226349800
2022-01-27,6586854004,6627405762,657075,6611161133,6611161133,177817500
2022-01-28,6618717773,664551123,6603491211,664551123,664551123,192680600
2022-01-29,,,,,,
2022-01-30,,,,,,
2022-01-31,6656707031,6669911133,6626655762,6631150879,6631150879,182548300
2022-02-01,,,,,,
2022-02-02,6657791992,6716597168,6650303223,6707651855,6707651855,214830000
2022-02-03,6724398926,6730598145,6648078125,6683851074,6683851074,202406000
2022-02-04,6697942871,6731391113,6685403809,6731391113,6731391113,177332600
2022-02-05,,,,,,
2022-02-06,,,,,,
2022-02-07,6751349121,680672998,674890918,6804937012,6804937012,225856300
2022-02-08,6813184082,686075,6780416992,6789521973,6789521973,255862800
2022-02-09,6811753906,6840394043,6796632813,6834605957,6834605957,253458500
2022-02-10,6859333984,6874351074,6814210938,682364209,682364209,279507200
2022-02-11,681360791,6825062012,6773537109,6815606934,6815606934,223574800
2022-02-12,,,,,,
2022-02-13,,,,,,
2022-02-14,6791315918,6796711914,6698508789,673448584,673448584,202907800
2022-02-15,6746358887,680749707,6727358887,680749707,680749707,210390400
2022-02-16,6821925781,6857649902,6821158203,6850198242,6850198242,216253600
2022-02-17,6836183105,6859706055,679059082,6835117188,6835117188,229539500
2022-02-18,6837519043,6899410156,6812355957,6892817871,6892817871,233754300
2022-02-19,,,,,,
2022-02-20,,,,,,
2022-02-21,6896751953,692790918,6886132813,6902964844,6902964844,231576400
2022-02-22,6879818848,6903996094,6823944824,6861994141,6861994141,196218500
2022-02-23,6878625,6920056152,6873813965,6920056152,6920056152,204842700
2022-02-24,6912477051,6929911133,675886084,6817819824,6817819824,282680700
2022-02-25,6825371094,6904910156,6822244141,6888170898,6888170898,211896500
2022-02-26,,,,,,
2022-02-27,,,,,,
2022-02-28,,,,,,
2022-03-01,6964696777,6996935059,6915976074,6921440918,6921440918,196006400
2022-03-02,6956618164,697335791,6861958984,6868401855,6868401855,325795100
2022-03-03,,,,,,
2022-03-04,6921315918,693698877,6895730957,6928328125,6928328125,247492300
2022-03-05,,,,,,
2022-03-06,,,,,,
2022-03-07,6905324219,6917933105,6843812012,6869065918,6869065918,261271800
2022-03-08,6895630859,6929862793,6814183105,6814183105,6814183105,246218500
2022-03-09,6836671875,6888930176,682409082,6864440918,6864440918,209971800
2022-03-10,6897174805,6924007813,6837725098,6924007813,6924007813,194071700
