Date;Open;High;Low;Close;Adj Close;Volume
01/01/2022;;;;;;
02/01/2022;;;;;;
03/01/2022;6.586.259.766;6.677.199.219;6.586.132.813;6.665.308.105;6.665.308.105;182552700
04/01/2022;6.675.129.883;6.720.657.227;6.675.129.883;6.695.373.047;6.695.373.047;185900100
05/01/2022;6.703.171.875;6.738.109.863;6.634.838.867;6.662.298.828;6.662.298.828;179080500
06/01/2022;6.674.852.051;6.679.851.074;6.593.229.004;6.653.351.074;6.653.351.074;179990500
07/01/2022;6.669.511.230;6.712.146.973;6.647.712.891;6.701.315.918;6.701.315.918;157064700
08/01/2022;;;;;;
09/01/2022;;;;;;
10/01/2022;6.697.375.977;6.725.023.926;6.689.282.227;6.691.124.023;6.691.124.023;159382400
11/01/2022;6.705.795.898;6.727.767.090;6.636.500.977;6.647.970.215;6.647.970.215;181053500
12/01/2022;6.662.395.020;6.690.323.242;6.625.756.836;6.647.064.941;6.647.064.941;192900600
13/01/2022;6.659.973.145;6.667.940.918;6.626.338.867;6.658.355.957;6.658.355.957;180765500
14/01/2022;6.653.645.996;6.699.413.086;6.631.045.898;6.693.400.879;6.693.400.879;140467300
15/01/2022;;;;;;
16/01/2022;;;;;;
17/01/2022;6.711.405.762;6.711.821.777;6.625.862.793;6.645.047.852;6.645.047.852;148626000
18/01/2022;6.654.958.984;6.667.404.785;6.534.270.020;6.614.059.082;6.614.059.082;172778900
19/01/2022;6.609.832.031;6.615.451.172;6.575.380.859;6.591.980.957;6.591.980.957;171354300
20/01/2022;6.607.798.828;6.637.207.031;6.587.765.137;6.626.871.094;6.626.871.094;158271000
21/01/2022;6.626.348.145;6.726.373.047;6.607.417.969;6.726.373.047;6.726.373.047;154628300
22/01/2022;;;;;;
23/01/2022;;;;;;
24/01/2022;6.700.821.777;6.712.262.207;6.645.409.180;6.655.166.016;6.655.166.016;176239200
25/01/2022;6.630.877.930;6.632.953.125;6.523.929.199;6.568.172.852;6.568.172.852;213235100
26/01/2022;6.569.817.871;6.601.336.914;6.549.520.996;6.600.818.848;6.600.818.848;226349800
27/01/2022;6.586.854.004;6.627.405.762;6.570.750.000;6.611.161.133;6.611.161.133;177817500
28/01/2022;6.618.717.773;6.645.511.230;6.603.491.211;6.645.511.230;6.645.511.230;192680600
29/01/2022;;;;;;
30/01/2022;;;;;;
31/01/2022;6.656.707.031;6.669.911.133;6.626.655.762;6.631.150.879;6.631.150.879;182548300
01/02/2022;;;;;;
02/02/2022;6.657.791.992;6.716.597.168;6.650.303.223;6.707.651.855;6.707.651.855;214830000
03/02/2022;6.724.398.926;6.730.598.145;6.648.078.125;6.683.851.074;6.683.851.074;202406000
04/02/2022;6.697.942.871;6.731.391.113;6.685.403.809;6.731.391.113;6.731.391.113;177332600
05/02/2022;;;;;;
06/02/2022;;;;;;
07/02/2022;6.751.349.121;6.806.729.980;6.748.909.180;6.804.937.012;6.804.937.012;225856300
08/02/2022;6.813.184.082;6.860.750.000;6.780.416.992;6.789.521.973;6.789.521.973;255862800
09/02/2022;6.811.753.906;6.840.394.043;6.796.632.813;6.834.605.957;6.834.605.957;253458500
10/02/2022;6.859.333.984;6.874.351.074;6.814.210.938;6.823.642.090;6.823.642.090;279507200
11/02/2022;6.813.607.910;6.825.062.012;6.773.537.109;6.815.606.934;6.815.606.934;223574800
12/02/2022;;;;;;
13/02/2022;;;;;;
14/02/2022;6.791.315.918;6.796.711.914;6.698.508.789;6.734.485.840;6.734.485.840;202907800
15/02/2022;6.746.358.887;6.807.497.070;6.727.358.887;6.807.497.070;6.807.497.070;210390400
16/02/2022;6.821.925.781;6.857.649.902;6.821.158.203;6.850.198.242;6.850.198.242;216253600
17/02/2022;6.836.183.105;6.859.706.055;6.790.590.820;6.835.117.188;6.835.117.188;229539500
18/02/2022;6.837.519.043;6.899.410.156;6.812.355.957;6.892.817.871;6.892.817.871;233754300
19/02/2022;;;;;;
20/02/2022;;;;;;
21/02/2022;6.896.751.953;6.927.909.180;6.886.132.813;6.902.964.844;6.902.964.844;231576400
22/02/2022;6.879.818.848;6.903.996.094;6.823.944.824;6.861.994.141;6.861.994.141;196218500
23/02/2022;6.878.625.000;6.920.056.152;6.873.813.965;6.920.056.152;6.920.056.152;204842700
24/02/2022;6.912.477.051;6.929.911.133;6.758.860.840;6.817.819.824;6.817.819.824;282680700
25/02/2022;6.825.371.094;6.904.910.156;6.822.244.141;6.888.170.898;6.888.170.898;211896500
26/02/2022;;;;;;
27/02/2022;;;;;;
28/02/2022;;;;;;
01/03/2022;6.964.696.777;6.996.935.059;6.915.976.074;6.921.440.918;6.921.440.918;196006400
02/03/2022;6.956.618.164;6.973.357.910;6.861.958.984;6.868.401.855;6.868.401.855;325795100
03/03/2022;;;;;;
04/03/2022;6.921.315.918;6.936.988.770;6.895.730.957;6.928.328.125;6.928.328.125;247492300
05/03/2022;;;;;;
06/03/2022;;;;;;
07/03/2022;6.905.324.219;6.917.933.105;6.843.812.012;6.869.065.918;6.869.065.918;261271800
08/03/2022;6.895.630.859;6.929.862.793;6.814.183.105;6.814.183.105;6.814.183.105;246218500
09/03/2022;6.836.671.875;6.888.930.176;6.824.090.820;6.864.440.918;6.864.440.918;209971800
10/03/2022;6.897.174.805;6.924.007.813;6.837.725.098;6.924.007.813;6.924.007.813;194071700
11/03/2022;6.872.631.836;6.922.602.051;6.853.857.910;6.922.602.051;6.922.602.051;174120300
12/03/2022;;;;;;
13/03/2022;;;;;;
14/03/2022;6.949.206.055;6.969.993.164;6.918.312.988;6.952.204.102;6.952.204.102;193318000
