Date;Open;High;Low;Close;Adj Close;Volume
01/09/2022;7.178.589.844;7.197.056.152;7.135.024.902;7.153.104.004;7.153.104.004;252393900
02/09/2022;7.153.104.004;7.207.615.234;7.146.811.035;7.177.179.199;7.177.179.199;284827600
05/09/2022;7.177.139.160;7.245.400.879;7.147.976.074;7.231.882.813;7.231.882.813;309176400
06/09/2022;7.231.922.852;7.287.700.195;7.230.792.969;7.233.154.785;7.233.154.785;346421400
07/09/2022;7.233.154.785;7.243.522.949;7.166.625.977;7.186.756.836;7.186.756.836;328200100
08/09/2022;7.186.756.836;7.277.883.789;7.186.563.965;7.232.017.090;7.232.017.090;277671500
09/09/2022;7.232.057.129;7.270.296.875;7.206.372.070;7.242.655.762;7.242.655.762;273581100
12/09/2022;7.242.695.801;7.276.419.922;7.218.463.867;7.254.463.867;7.254.463.867;300778400
13/09/2022;7.254.463.867;7.345.456.055;7.254.416.016;7.318.016.113;7.318.016.113;285339000
14/09/2022;7.317.895.996;7.317.895.996;7.219.319.824;7.278.078.125;7.278.078.125;250200100
15/09/2022;7.278.198.242;7.377.495.117;7.278.198.242;7.305.601.074;7.305.601.074;274253400
16/09/2022;7.305.601.074;7.306.163.086;7.163.073.242;7.168.870.117;7.168.870.117;351796400
19/09/2022;7.168.950.195;7.231.416.016;7.151.615.234;7.195.487.793;7.195.487.793;252816300
20/09/2022;7.195.567.871;7.252.186.035;7.186.246.094;7.196.951.172;7.196.951.172;279749000
21/09/2022;7.196.871.094;7.204.901.855;7.134.785.156;7.188.313.965;7.188.313.965;246224300
22/09/2022;7.188.193.848;7.225.550.781;7.127.457.031;7.218.905.762;7.218.905.762;282626800
23/09/2022;7.219.025.879;7.219.025.879;7.172.533.203;7.178.583.008;7.178.583.008;205509000
26/09/2022;7.178.502.930;7.178.502.930;7.039.241.211;7.127.502.930;7.127.502.930;193399700
27/09/2022;7.127.502.930;7.133.411.133;7.075.653.809;7.112.449.219;7.112.449.219;227195500
28/09/2022;7.112.409.180;7.156.979.980;7.073.473.145;7.077.030.762;7.077.030.762;193422200
29/09/2022;7.077.110.840;7.135.500.977;7.023.210.938;7.036.198.242;7.036.198.242;214141900
30/09/2022;7.036.198.242;7.056.169.922;6.926.859.863;7.040.797.852;7.040.797.852;208540900
03/10/2022;7.040.797.852;7.047.624.023;6.995.062.012;7.009.717.773;7.009.717.773;179996500
04/10/2022;7.009.836.914;7.101.472.168;7.009.836.914;7.072.255.859;7.072.255.859;216377800
05/10/2022;7.072.294.922;7.131.879.883;7.070.212.891;7.075.384.766;7.075.384.766;219700600
06/10/2022;7.075.384.766;7.135.908.203;7.066.471.191;7.076.623.047;7.076.623.047;177554400
07/10/2022;7.076.623.047;7.081.018.066;7.008.144.043;7.026.783.203;7.026.783.203;226928900
10/10/2022;7.026.663.086;7.026.663.086;6.947.719.238;6.994.395.020;6.994.395.020;220135300
11/10/2022;6.994.395.020;7.001.969.238;6.937.809.082;6.939.145.020;6.939.145.020;237406700
12/10/2022;6.939.145.020;6.990.587.891;6.870.282.227;6.909.208.984;6.909.208.984;225826800
13/10/2022;6.909.208.984;6.933.708.008;6.880.625.000;6.880.625.000;6.880.625.000;175237300
14/10/2022;6.880.665.039;6.943.854.980;6.814.529.785;6.814.529.785;6.814.529.785;188093100
17/10/2022;6.814.529.785;6.836.975.098;6.747.379.883;6.831.115.234;6.831.115.234;217793900
18/10/2022;6.831.154.785;6.891.984.863;6.809.984.863;6.834.494.141;6.834.494.141;204836800
19/10/2022;6.834.494.141;6.883.916.992;6.806.113.770;6.860.416.016;6.860.416.016;165404100
20/10/2022;6.860.416.016;6.986.205.078;6.847.066.895;6.980.651.855;6.980.651.855;225664700
21/10/2022;6.980.691.895;7.058.911.133;6.974.962.891;7.017.770.996;7.017.770.996;181511700
24/10/2022;7.017.811.035;7.092.169.922;7.017.460.938;7.053.043.945;7.053.043.945;203913800
25/10/2022;7.053.083.984;7.108.815.918;7.032.541.992;7.048.379.883;7.048.379.883;223456200
26/10/2022;7.048.419.922;7.081.879.883;7.017.935.059;7.043.938.965;7.043.938.965;187797900
27/10/2022;7.043.979.004;7.104.853.027;7.043.979.004;7.091.761.230;7.091.761.230;188078500
28/10/2022;7.091.761.230;7.100.808.105;7.016.702.148;7.056.040.039;7.056.040.039;186703600
31/10/2022;7.056.040.039;7.113.112.793;7.051.429.199;7.098.890.137;7.098.890.137;192397100
01/11/2022;7.098.930.176;7.128.136.230;7.018.551.758;7.052.303.223;7.052.303.223;193069500
02/11/2022;7.052.303.223;7.074.232.910;6.976.871.094;7.015.689.941;7.015.689.941;165214300
03/11/2022;7.015.689.941;7.050.380.859;6.962.853.027;7.034.573.242;7.034.573.242;176601600
