N02BA;N02BE;N05B
152,1;878,03;354
177;1001,9;347
147,655;779,275;232
130,9;698,5;209
132,1;628,78;270
122,9;548,225;323
129,3;491,9;348
123,8;583,85;420
122,1;887,82;399
191,6;1856,815;472
142,7;723,8;489
111,124;1015,66;492
141;1044,24;463
131,83;953,252;243
133,8;1084,85;208
122,1;940,17;192
136,04;765,9;194
145,46;746,788;217
125,5;708,828;203
133,4;790,788;265,5
110,4;852,125;243,5
146,2;1574,335;222
145,9;1277,725;228
137;1258,349;286
172,5;1476,324;248
134,2;1224,862;239
148,4;1150,7;250
147,7;998,337;318
130,55;997,15;275
117,75;760,05;311
137,9;652,362;240
132,7;753,05;275,5
116,7;1118,699;307
160,15;1617,275;312
133,85;1062,686;246
132,4;1624,335;257
0;0;1
97;526,35;144
107,35;612,5;165
100,5;540,2;132
98,95;547,94;148
119,6;496,1;163
75,2;479,35;219
84,4;549,3;239
88,15;863,75;223
100,4;1184,35;226
104,45;867,899;192
115,15;1007,18;226
101,15;1134,325;229
114,65;1255,374;268
122,3;999,123;381
84,6;836,037;289
89,4;644,648;259
86,8;584,343;248
87,2;679,35;283
88,25;733,838;253
86,5;1058,262;263
76,05;1129,275;287
102,15;995,15;252,2
84,75;1213,95;254
99,7;1660,612;295,2
110,2;1001,212;249,4
83,35;941,05;301,4
88,1;647,65;299,4
104,1;703,562;265,8
103,2;610;193
92,8;649,8;250,6
84,2;518,1;237
93,5;984,48;227,8
20,65;295,15;86
