Yt,Yt-1,Xt
112,,48.2
122,112,36.2
112,122,85.4
97,112,73.7
107,97,123.7
57,107,109.3
61,57,69.1
37,61,70.8
115,37,58.8
182,115,74.5
112,182,45.2
163,112,33.4
177.25,163,42
208,177.25,47
195,208,54
97,195,112
100,97,159.5
193,100,125.8
60,193,130.3
45,60,83.7
91,45,71
184,91,72
195,184,44
231,195,41.73
174,231,56.5
245,174,58
253,245,97.84
216,253,162.4
131,216,137.1
127,131,134.8
109,127,116.83
116,109,85.3
121,116,69.3
220,121,60.9
150,220,51.2
275,150,34.9
0,275,0
117,0,30.6
139,117,100.1
209,139,122.4
128,209,161.81
163,128,151.9
115,163,81.1
75,115,60.1
139,75,66.9
247,139,51
196,247,46.6
204,196,47.1
219,204,49.5
253,219,39.06
269,253,85.5
229,269,197.1
192,229,213.04
101,192,120.8
90,101,122.2
159,90,103.1
205,159,88.1
353,205,76.9
311,353,48.4
384,311,53.1
386,384,41.3
226,386,69.5
257,226,169.5
259,257,179.1
322,259,135.4
142,322,156.04
115,142,105.2
145,115,97.3
161,145,109.1
37,161,11.13
